id,category,query,expected_route,actual_route,actual_intent,status_code,result,latency_seconds,response_chars,source_count,matched_keywords,matched_keyword_count,expected_keyword_count,reference_source,notes,llm_provider,llm_model,error,response_preview
41,support_staff,ใครเป็นวิศวกรปฏิบัติการของภาควิชา,rag,answer,domain_question,200,PASS,9.015,597,13,,0,1,department_support_staff.md,ทดสอบบทบาทสายสนับสนุน,openai,gpt-4.1,,จากข้อมูลที่มี ไม่พบรายชื่อและข้อมูลติดต่อของวิศวกรปฏิบัติการประจำภาควิชาวิศวกรรมไฟฟ้าโดยตรงในแหล่งข้อมูลอย่างเป็นทางการที่ได้รับ **ข้อเสนอแนะ** - แนะนำให้ติดต่อสอบถามโดยตรงกับภาควิชาวิศวกรรมไฟฟ้า เพื่อขอข้อมูลรายชื่อและข้อมูลติดต่อของวิศวก
42,support_staff,อีเมลของนายธชทัต จวงสอนคืออะไร,rag,answer,domain_question,200,PASS,6.879,347,9,,0,1,department_support_staff.md,ทดสอบอีเมลสายสนับสนุน,openai,gpt-4.1,,"น้องไฟฟ้าขอแจ้งว่า ไม่พบข้อมูลอีเมลของนายธชทัต จวงสอนในแหล่งข้อมูลทางการที่มีอยู่ค่ะ หากต้องการข้อมูลติดต่อเพิ่มเติม แนะนำให้ติดต่อภาควิชาวิศวกรรมไฟฟ้าโดยตรงได้ที่ - โทรศัพท์: 034-219364-66 ต่อ 25520, 089-979-7911 - โทรศัพท์/โทรสาร: 034-241"
43,mixed,ภาควิชามีหลักสูตรปริญญาตรีอะไรบ้าง,rag,answer,domain_question,200,PASS,11.021,2582,8,วิศวกรรมอิเล็กทรอนิกส์และระบบคอมพิวเตอร์ | วิศวกรรมไฟฟ้าสื่อสาร,2,2,program_ecs.md,ทดสอบคำถามรวมหลายหลักสูตร,openai,gpt-4.1,,ภาควิชาวิศวกรรมไฟฟ้า คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม มหาวิทยาลัยศิลปากร เปิดสอนหลักสูตรปริญญาตรี ดังนี้ ### หลักสูตรปริญญาตรีที่เปิดสอน 1. **หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอิเล็กทรอนิกส์และระบบคอมพิวเตอร์** - มีทั้งหลัก
44,mixed,ภาควิชามีหลักสูตรปริญญาโทอะไรบ้าง,rag,answer,domain_question,200,PASS,10.808,2574,8,วิศวกรรมไฟฟ้าและคอมพิวเตอร์,1,1,program_master_ece.md,ทดสอบคำถามรวมระดับการศึกษา,openai,gpt-4.1,,ภาควิชาวิศวกรรมไฟฟ้า คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม มหาวิทยาลัยศิลปากร เปิดสอนหลักสูตรปริญญาโท ดังนี้ ### หลักสูตรปริญญาโทที่เปิดสอน - **หลักสูตรวิศวกรรมศาสตรมหาบัณฑิต สาขาวิชาวิศวกรรมไฟฟ้าและคอมพิวเตอร์** (หลักสูตรปรับปรุง พ.ศ. 25
45,mixed,ภาควิชามีทั้งฝึกงานและสหกิจศึกษาหรือไม่,rag,answer,domain_question,200,PASS,7.667,1221,8,ฝึกงาน | สหกิจศึกษา,2,2,program_ecs.md,ทดสอบข้อมูลกิจกรรมในหลักสูตร,openai,gpt-4.1,,ภาควิชาวิศวกรรมไฟฟ้า มหาวิทยาลัยศิลปากร มีรูปแบบการศึกษาให้เลือกทั้งแบบแผนปกติ (ซึ่งโดยทั่วไปจะมีการฝึกงาน) และแผนสหกิจศึกษา โดยมีรายละเอียดดังนี้ - **แผนการเรียนปกติ** - ไม่มีข้อมูลระบุรายละเอียดวิชาฝึกงานโดยตรงในเอกสารที่มี แต่โดยทั่วไปแผ
46,out_of_scope,วันนี้ฝนจะตกไหม,end,router,out_of_scope,200,PASS,0.011,210,0,นอกขอบเขต,1,2,none,ทดสอบคำถามนอกขอบเขต,openai,gpt-4.1,,"คำถามนี้อยู่นอกขอบเขตที่ผมรองรับครับ เพราะเป็นคำถามเกี่ยวกับสภาพอากาศ ถ้าต้องการข้อมูลเกี่ยวกับหลักสูตร อาจารย์ เอกสาร หรือข้อมูลติดต่อของDepartment of Electrical Engineering, Silpakorn University ผมช่วยได้ครับ"
47,out_of_scope,ช่วยแต่งกลอนวันสงกรานต์ให้หน่อย,end,router,out_of_scope,200,PASS,0.01,208,0,นอกขอบเขต,1,2,none,ทดสอบ small talk ที่ไม่เกี่ยวกับภาควิชา,openai,gpt-4.1,,"น้องไฟฟ้ายังไม่สามารถช่วยเรื่องนี้ได้ครับ คำถามนี้อยู่นอกขอบเขตที่ผมรองรับ หากอยากสอบถามเรื่องของDepartment of Electrical Engineering, Silpakorn University เช่น รายวิชา หลักสูตร หรือการติดต่อ ผมช่วยต่อได้ครับ"
48,lecturer_detail,อาจารย์ยุทธนาทำวิจัยอะไร,rag,answer,domain_question,200,PASS,7.08,1570,8,ยุทธนา | VLSI | FPGA,3,3,staff_details/lecturer_5.md,ทดสอบข้อมูลรายละเอียดอาจารย์จากหน้ารายบุคคล,openai,gpt-4.1,,ข้อมูลเกี่ยวกับ ผู้ช่วยศาสตราจารย์ ดร.ยุทธนา เจวจินดา **งานวิจัยและความเชี่ยวชาญ** - ความเชี่ยวชาญ: - วงจรรวมและระบบ VLSI - การออกแบบ FPGA/ASIC - ระบบและซอฟต์แวร์ฝังตัวอัจฉริยะ (Intelligence embedded software/systems) - ผลงานวิจัยที่ตีพิมพ์
49,lecturer_detail,อาจารย์คนไหนทำวิจัยด้าน FPGA หรือ VLSI บ้าง,rag,answer,domain_question,200,PASS,10.451,1115,8,ยุทธนา | FPGA | VLSI,3,3,staff_details/lecturer_5.md,ทดสอบค้นหาความเชี่ยวชาญจาก staff detail,openai,gpt-4.1,,"อาจารย์ภาควิชาวิศวกรรมไฟฟ้าที่มีความเชี่ยวชาญหรือทำวิจัยด้าน FPGA และ VLSI ที่พบในข้อมูลอย่างเป็นทางการ ได้แก่ - **ผู้ช่วยศาสตราจารย์ ดร. ยุทธนา เจวจินดา** - ความเชี่ยวชาญ/หัวข้อวิจัย: VLSI circuits and systems, FPGA/ASIC design, Intelligen"
50,current_info,TCAS รอบล่าสุดใช้คะแนนอะไรบ้าง,rag,answer,domain_question,200,PASS,6.088,1177,5,TCAS | ทางการ,2,3,official_web_search,ทดสอบข้อมูลปัจจุบันที่ควรค้นจากเว็บไซต์ทางการหรือชี้แจงข้อจำกัด,openai,gpt-4.1,,สำหรับ TCAS รอบล่าสุดของภาควิชาวิศวกรรมไฟฟ้า คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม มหาวิทยาลัยศิลปากร จากข้อมูลในเว็บไซต์ทางการ พบรายละเอียดดังนี้ - การรับเข้าศึกษาในแต่ละรอบ อาจใช้คะแนนดังต่อไปนี้ (ขึ้นอยู่กับโครงการ/รอบที่สมัคร): - คะแน
